Type,Titles (CIVIL SERVICE and non-civil service),Standard Titles,Area
Public Library,"PAGE, PART-TIME",Page,Support Staff
Public Library,PAGES,Page,Support Staff
Public Library,pages,Page,Support Staff
Public Library,part time clerk,Library Clerk,Support Staff
Public Library,part time facilities,Custodial Worker I,Building/Custodial Staff
Public Library,part time librarian,Librarian I,Librarian
Public Library,PART-TIME ADMINISTRATIVE ASSISTANT,Administrative Assistant,Support Staff
Public Library,PART-TIME ADULT SHELVER/PROJECTIONIST,Page,Support Staff
Public Library,PART-TIME CLERK,Library Clerk,Support Staff
Public Library,PART-TIME CUSTODIAN,Custodian,Building/Custodial Staff
Public Library,PART-TIME GRAPHIC DESIGNER,Graphic Artist,Marketing
Public Library,PART-TIME JUNIOR PAGE,Page,Support Staff
Public Library,PART-TIME LIBRARIAN,Librarian I,Librarian
Public Library,PART-TIME LIBRARY AIDE,Library Aide,Support Staff
Public Library,PATRON SERVICES MANAGER,Librarian I,Librarian
Public Library,PERSONNEL CLERK,Account Clerk,Support Staff
Public Library,pr assistant,Administrative Assistant,Support Staff
Public Library,PRIN ACCTS CLERK / COMP TECH,Principal Account Clerk,Support Staff
Public Library,PRIN LIBRARY CLERK,Principal Library Clerk,Support Staff
Public Library,PRIN TYPIST CLERK,Principal Library Clerk,Support Staff
Public Library,PRIN/CLK/LIB ,Principal Library Clerk,Support Staff
Public Library,PRINCIPAL ACCOUNT CLERK,Principal Library Clerk,Support Staff
Public Library,PRINCIPAL CLERK,Principal Library Clerk,Support Staff
Public Library,PRINCIPAL LIBRARY CLERK,Principal Library Clerk,Support Staff
Public Library,PRINCIPAL LIBRARY CLERK (NLK),Principal Library Clerk,Support Staff
Public Library,PRINCIPAL TYPIST CLERK,Principal Library Clerk,Support Staff
Public Library,PRINCIPLE CLERK,Principal Library Clerk,Support Staff
Public Library,PROCESSING LIB CLERK,Library Clerk,Support Staff
Public Library,program coordinator,Cultural Programming Specialist,Support Staff
Public Library,PROGRAM COORDINATOR,Cultural Programming Specialist,Support Staff
Public Library,programmer (no mlis),Cultural Programming Specialist,Support Staff
Public Library,proofreader,Proofreader,Marketing
Public Library,PT CAREER COUNSELER,Career Counselor,Support Staff
Public Library,PT CUSTODIAL WORKER I,Custodial Worker I,Building/Custodial Staff
Public Library,PT LIBRARIAN I,Librarian I,Librarian
Public Library,PT LIBRARIAN TRAINEE,Librarian Trainee,Librarian
Public Library,PT LIBRARY CLERK,Library Clerk,Support Staff
Public Library,PUB REL SPEC ,Public Information Officer,Marketing
Public Library,PUBLIC INFORMATION OFFICER,Public Information Officer,Marketing
Public Library,SECRETARY TO THE LIB. BD. P/T,Secretary to the Library Board,Support Staff
Public Library,SECRETARY TO THE LIBRARY BOARD,Secretary to the Library Board,Support Staff
Public Library,SECURITY AIDE (WFA),Security Aide,Building/Custodial Staff
Public Library,SECURITY AIDE P/T (WET),Security Aide,Building/Custodial Staff
Public Library,SENIOR ACCOUNT CLERK,Senior Account Clerk,Support Staff
Public Library,senior account clerk,Senior Account Clerk,Support Staff
Public Library,SENIOR ACCOUNT CLERK (CAP),Senior Account Clerk,Support Staff
Public Library,SENIOR ACCOUNT CLERK P/T,Senior Account Clerk,Support Staff
Public Library,SENIOR CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,SENIOR CLERK (ACK),Senior Library Clerk,Building/Custodial Staff
Public Library,SENIOR GUARD,Senior Guard,Building/Custodial Staff
Public Library,SENIOR LIB CLERK,Library Clerk,Support Staff
Public Library,SENIOR LIBRARY CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,SENIOR LIBRARY CLERK ,Senior Library Clerk,Building/Custodial Staff
Public Library,"SENIOR LIBRARY CLERK (NLA, NLC)",Senior Library Clerk,Building/Custodial Staff
Public Library,SENIOR LIBRARY CLERK (NLA),Senior Library Clerk,Building/Custodial Staff
Public Library,SENIOR LIBRARY CLERK P/T (NLC),Senior Library Clerk,Building/Custodial Staff
Public Library,SENIOR OFFICE ASSISTANT,Senior Account Clerk,Support Staff
Public Library,SENIOR TYPIST CLERK (AGF),Senior Library Clerk,Building/Custodial Staff
Public Library,social media/library specialist (no mlis),Library Specialist,Support Staff
Public Library,SR ACCT CLK ,Senior Account Clerk,Support Staff
Public Library,SR CLERK,Senior Library Clerk,Building/Custodial Staff
Public Library,SR LIB CLK,Senior Library Clerk,Building/Custodial Staff
