Record Id,Submitted,Institution,Type (from Notes),County,Spreadsheet,Civil Service Code,Job Title,Starting Salary,Current Salary,Hours/Week,Full Time Hours,Education Required,Number of Staff Supervised (direct and indirect reports),Years of Experience,Spreadsheet Received,PT-FT
158,5/13/2024 2:33pm,Hauppauge Public Library,Public Library,,Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/oR3WvNgQtN8Es5758l3-gQ/sJs6OS-rEl_vacwgsNRfVGdwGL2lVF-Q6r8Qyg8slyZry3AK9GdUeI2Cp96135sNBCv42DqAjskX3EHvrBRvx1cv6cKSIktCFwtnKMZJDgvPrkbAeWD-gN2e0SRlJwk90ENAZnOP2fC4xB8loIeqXEjeo03_wIk8FyjSCcpegZk/CjbWS50iBGQD7dS7BOrN2yZFov6o32Koy81RvOlGi04),,,,,,,,,,,
166,5/14/2024 11:02am,Emma S. Clark Memorial Library,Public Library,,LILRC Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/ySR8gHGe26GgM0MXF5Gbxg/lt8fsiViTZtMbaaT6zJRTUDtXQVBcGxfreqUFAB7IY5xl5LtodAokCsqGC_gXeLq3NcnGdV5VQ3xz5TO64B3cXnuuzoneo-bTQO3VmQy6MTq2Rp6oV6hmSLJ6DW07yOR8hPgasrCjyO74fw28-W5PixOVkyTXFNTqnpkQqeWxdybu1EwXK7IxZiYJlciyio_/8VJfvHcOSQRSdXSpFM9YqLEQ1tMQGC1nrFYmMv142YU),,,,,,,,,,,
167,5/14/2024 11:48am,Babylon Public Library,Public Library,,Salary Survey May 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/cV2gVz62D1ufpt-DLCwUZA/EI8iGuS0xaP1xCw7W2Uv4_bSLo-SKjO_0Jm2aKFHPAafMdV3wswdrniRyIMRp1HIrcNTSFLZnKbQO0a1VtRjz90ue0Gr3C06_ek_f0Pct86XT06v98GYT8sj9z9nfu1aDr3Hm7b0zonOIB8qY6ur2Z5IfkVCM8AZYWCT9Xc7KMw/dNCI2jaUeFYmwgGj2CLF7KYApbAD6UUCgJzAOSfxYMw),,,,,,,,,,,
168,5/14/2024 1:21pm,Smithtown Library - Nesconset Branch,Public Library,,"CBA New Tier-NON-Prof (Hired after 1-1-18) 2022-2023 FINAL.pdf (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/6c0d-_lqEyE2nAWQehiOvg/8OoNgkl0IPc-dG3oTu4O2ma_3uq2ALmWvVxSSZ5bOFujUmJD7336j96NnC9BD3ABecYbDNU-X58oBo2d1LqM7FK35SseN1yg_MBxZBKkKDKuf1FyZq-p5LA1Mg3KXlK7HWizBDGvqYHiFtuiNWLjpEp9cvpntHEKPPJYc76yWoFt-hD5piSzWz7SsftTFelKlfrLenqAJixNy0aCtDkgtA/Sz5huJTOpAt60zYUaWgdEoQtSo0_RAEWflBIf0TNDCY),CBA New Tier Professionals(Hired after 1-1-18) 2022-2023  FINAL.pdf (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/9XVZyA1Vp-QHqV8Duq5ahQ/zYb_VBv2aYu8tQIhekerCNWmZ494jhQ7cvQHB8w-mq83uuoGwPgLGYyLvzDczv7LgViAVeZjYTp1b-KfASwSVSHuMccqvRpfki4wHL0cetclHsRDbFSKJOtq3DUe7AVaQ-kjZXDklVshMF9RE8isFAqnOsrjNamJ0ZqFg0J53CjpfKNdn46puWM55nMfHssq-Xr-cE_kJDaJrv11ck5tew/3m30sKds5tcwSGmuXeNIc-sZhKhT-XGRIk8yflTYSaA)",,,,,,,,,,,
169,5/14/2024 1:43pm,South Country Library,Public Library,,LILRC Salary Survey (1).xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/Fa46ZPG_jdw9jQ262Y5yAg/jDGwKos-fpFV-HpE6quMJpV44wFcyG8NcGCOBtWj1CG_7a80bhdvWuydvETqB2goWk3dyOZzyrjKnDBA6bVQX5s5rVspsLB7KHKud51PXICWL0WV1QP1cIi6a0JseV6TLvDPmglDC-xcitLtN1ygWQgbOfZDUWr_NLizQaZi5rs/RuuBfY58aShM4DP_EWAVwpkGv4FZpKcuwrLX6OuG9KE),,,,,,,,,,,
172,5/14/2024 3:59pm,Wantagh Public Library,Public Library,,Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/OYjrnq8zBzRZtDrPR11aOw/_C24PE2LkxaxKAyN2HTZxVRFVbfIS2chMe6pU2etxM5wS6zy8UuQi-BReecWsM4Ef22natw2t66XjEWgwcdDrqtmP69K5r7kCgeIlN5g2pBD0bUxth09ZKSblMmOCSOl6uhq7LnYvBeal9bOO_o_pHv7c7NpuwJaz3UQqqjsl7U/KNN5fOWDeTs2kDI6uyJpRiLLYDwdnP_sxJZEEq_BL2g),,,,,,,,,,,
173,5/14/2024 5:08pm,Connetquot Public Library,Public Library,,Connetquot Public Library Current Salary Ranges 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/wVgwu6FpW3tm7sRzfTgm7w/K1W4DSq7KD1lv32HQfERU11FJFv0P2vsY7oPEWruHq3JLFPBe2cSO0gcsnnqsFeOTDLmSlsylBSgLnCWYfM76vdOY1GUeRRL-_bcno8GgTyJdDMoMehONglnR-7tdJsw8SiMCbswHzNauLldxkEvFYfV5gS74Hrs6EBdf0M8fKUTmpmnSO6lzRlvqEguJfPX0997ZVVz33PY99AEXB8UHQ/SLtlXC-d_NWJoqBCajMPK5O0f_Hn2SP_wuh0v8RowrI),,,,,,,,,,,
175,5/15/2024 4:03pm,Bryant Library,Public Library,,Salary Survey-2023-2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/SUDo91lozR1Ir9I1mb3Suw/_Dymhf25GVHOQW-NMVtWKzbYjC8kgWPEagA6WzaVjO-iaCSue6FE-bPMGMvYllOjldMHADSoRX2Bmd2iJb2c2ClQ_b-YyF-1i8u5AzyTd-qFDjsQRdUCSV0Cwx1TxX8aEQhBdLa7m5kVTd6JYh6hSlNPkeNQhx92QOoa-vAIHGfpTnYjVR5e1Wy_ViKUeDU-/9zSKS0lA-6gcy1JPxYD9JS4KBAANooYKFQ3L39BwNxw),,,,,,,,,,,
176,5/15/2024 4:15pm,Oyster Bay - East Norwich Public Library,Public Library,,Salary Survey current salaries 2024 June.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/lByms86Oqx1PMXba5Wcw2A/qMevHuMl1wEd96O9rdjYYmUOvaucJuFGf195vBei1OhB3QPGdnH8fbvyTJ8haG8zSH9G0VgjNylyc5Z9qyKKeMeZwTeG7dreQXRxchCj5vGYO2qXlqKGtyd71Od503hN9c82jdFQzaYoE8umnbrdn-yi0P1Edhw_H-LBvXmU7L4LwaDsUcrwfnGvuVyHT1Ly/m0uVuKb8PYbJdEjf6vXTv8Fl-k6FTxtsn-UUjLB5_ls),,,,,,,,,,,
178,5/16/2024 3:20pm,Peninsula Public Library,Public Library,,Salary Survey(3).xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/Bt0US_XG4zNK3IRnmS2Cjw/0wLCHJl_nMqOW5w5gMivKCrfP6p67AWpblXg8xZLTxxWPW9_QLA3H31U06si9IEosniWD8j2KqHd2JyNw7QuiyR_s2hywZSoL_VwxRsEUZOByFl0xbozyhyaZxx4mbAgyCdjr2zryukNzX28oKWMB8dFBCVolydww2OJ3LcqfjY/dnTQEdDkofYHRlnJA3KEbaDERuNZvcUm73FKllEIYzI),,,,,,,,,,,
